samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	52.5	-93.75	93.75	157.5	41.25	-3.75	-45	15
1	56.25	-90	86.25	150	33.75	-7.5	-48.75	7.5
2	67.5	-67.5	93.75	157.5	45	0	-45	11.25
3	75	-52.5	101.25	168.75	56.25	11.25	-33.75	22.5
4	67.5	-63.75	105	176.25	60	15	-30	22.5
5	63.75	-71.25	108.75	180	63.75	11.25	-30	22.5
6	86.25	-63.75	112.5	191.25	71.25	22.5	-22.5	33.75
7	93.75	-71.25	112.5	198.75	78.75	30	-11.25	45
8	90	-82.5	116.25	198.75	78.75	30	-7.5	48.75
9	90	-82.5	116.25	195	78.75	33.75	-11.25	48.75
10	97.5	-78.75	112.5	198.75	78.75	37.5	-7.5	48.75
11	90	-82.5	108.75	202.5	78.75	37.5	-7.5	48.75
12	82.5	-86.25	105	191.25	75	33.75	-15	45
13	82.5	-78.75	101.25	187.5	75	30	-18.75	33.75
14	78.75	-67.5	97.5	191.25	71.25	26.25	-22.5	30
15	82.5	-56.25	105	195	71.25	30	-15	37.5
16	90	-48.75	108.75	206.25	86.25	37.5	-11.25	41.25
17	108.75	-37.5	105	213.75	93.75	45	-3.75	48.75
18	131.25	-30	112.5	217.5	97.5	56.25	7.5	63.75
19	138.75	-37.5	116.25	225	101.25	60	15	71.25
20	120	-48.75	112.5	225	105	60	18.75	71.25
21	116.25	-48.75	105	221.25	101.25	60	15	67.5
22	120	-45	108.75	225	105	63.75	18.75	71.25
23	116.25	-45	108.75	225	105	63.75	18.75	71.25
24	112.5	-41.25	105	221.25	101.25	63.75	15	71.25
25	123.75	-26.25	105	217.5	101.25	63.75	15	71.25
26	131.25	-22.5	101.25	217.5	97.5	56.25	7.5	63.75
27	123.75	-30	101.25	213.75	93.75	52.5	3.75	60
28	116.25	-33.75	105	217.5	97.5	56.25	11.25	67.5
29	131.25	-26.25	105	225	105	63.75	15	71.25
30	146.25	-30	105	232.5	112.5	71.25	22.5	82.5
31	153.75	-37.5	105	236.25	116.25	78.75	30	90
32	157.5	-26.25	105	236.25	120	82.5	37.5	101.25
33	161.25	-11.25	108.75	232.5	116.25	82.5	41.25	105
34	168.75	-7.5	108.75	228.75	108.75	82.5	41.25	101.25
35	168.75	-11.25	105	225	105	78.75	37.5	101.25
36	168.75	-11.25	101.25	217.5	97.5	75	33.75	97.5
