samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
996,-22.5,78.75,-15,-48.75,-41.25,-63.75,-67.5,-26.25,-22.916666666666668
997,-15,82.5,-11.25,-45,-37.5,-60,-63.75,-26.25,-19.583333333333332
998,15,86.25,-18.75,-56.25,-45,-67.5,-71.25,-33.75,-21.25
999,7.5,86.25,-18.75,-56.25,-48.75,-67.5,-71.25,-33.75,-22.5
1000,-3.75,97.5,-7.5,-41.25,-33.75,-56.25,-60,-22.5,-14.166666666666666
1001,11.25,123.75,7.5,-26.25,-15,-41.25,-45,-3.75,1.25
1002,7.5,123.75,3.75,-26.25,-18.75,-45,-48.75,-7.5,-1.25
1003,3.75,97.5,-11.25,-41.25,-33.75,-60,-60,-22.5,-14.166666666666666
1004,3.75,82.5,-26.25,-56.25,-48.75,-71.25,-71.25,-33.75,-24.583333333333332
1005,-7.5,75,-33.75,-63.75,-52.5,-75,-75,-45,-30.833333333333332
1006,0,82.5,-30,-60,-52.5,-71.25,-75,-56.25,-29.166666666666668
1007,11.25,101.25,-18.75,-48.75,-41.25,-63.75,-67.5,-56.25,-20.416666666666668
1008,-3.75,86.25,-22.5,-56.25,-48.75,-71.25,-82.5,-60,-28.75
1009,-11.25,67.5,-22.5,-60,-52.5,-75,-86.25,-48.75,-32.083333333333336
1010,-18.75,60,-22.5,-63.75,-52.5,-75,-82.5,-48.75,-33.75
1011,-26.25,63.75,-18.75,-60,-52.5,-71.25,-78.75,-48.75,-32.5
1012,-30,63.75,-18.75,-56.25,-48.75,-71.25,-75,-45,-31.25
1013,-7.5,86.25,-11.25,-45,-41.25,-63.75,-71.25,-37.5,-21.25
1014,37.5,135,-3.75,-33.75,-30,-52.5,-60,-26.25,-3.75
1015,45,138.75,-7.5,-41.25,-37.5,-56.25,-63.75,-26.25,-5.416666666666667
1016,15,108.75,-18.75,-52.5,-45,-67.5,-71.25,-37.5,-18.75
1017,-7.5,90,-30,-63.75,-56.25,-75,-78.75,-41.25,-29.166666666666668
1018,-3.75,97.5,-26.25,-60,-52.5,-71.25,-75,-37.5,-25.416666666666668
1019,7.5,105,-22.5,-60,-48.75,-67.5,-75,-37.5,-22.083333333333332
1020,26.25,112.5,-26.25,-63.75,-56.25,-75,-82.5,-41.25,-22.916666666666668
1021,37.5,116.25,-22.5,-67.5,-56.25,-75,-82.5,-41.25,-21.25
1022,7.5,86.25,-33.75,-78.75,-67.5,-86.25,-90,-52.5,-35.0
1023,-18.75,63.75,-33.75,-78.75,-71.25,-90,-93.75,-56.25,-42.083333333333336
1024,-11.25,63.75,-37.5,-78.75,-71.25,-93.75,-97.5,-60,-42.916666666666664
1025,-7.5,67.5,-37.5,-75,-71.25,-93.75,-97.5,-60,-41.666666666666664
1026,-11.25,78.75,-33.75,-75,-67.5,-93.75,-97.5,-56.25,-39.583333333333336
1027,-11.25,78.75,-37.5,-78.75,-71.25,-93.75,-97.5,-56.25,-40.833333333333336
1028,-18.75,75,-33.75,-75,-63.75,-86.25,-90,-48.75,-37.916666666666664
1029,-33.75,93.75,-18.75,-60,-52.5,-71.25,-75,-30,-27.5
1030,-22.5,93.75,-30,-67.5,-60,-78.75,-86.25,-41.25,-32.5
1031,7.5,82.5,-45,-90,-78.75,-97.5,-101.25,-60,-42.5
1032,0,67.5,-48.75,-93.75,-82.5,-101.25,-101.25,-63.75,-47.083333333333336
1033,-22.5,56.25,-45,-90,-78.75,-97.5,-97.5,-56.25,-47.916666666666664
1034,-18.75,63.75,-37.5,-90,-78.75,-93.75,-93.75,-56.25,-45.0
1035,-18.75,56.25,-41.25,-97.5,-82.5,-101.25,-101.25,-63.75,-50.0
1036,-33.75,48.75,-45,-93.75,-82.5,-105,-105,-67.5,-53.75
1037,-26.25,71.25,-33.75,-78.75,-71.25,-93.75,-93.75,-56.25,-42.5
1038,-15,90,-33.75,-75,-67.5,-90,-90,-52.5,-37.083333333333336
1039,-26.25,75,-41.25,-86.25,-78.75,-101.25,-101.25,-56.25,-46.25
1040,-11.25,78.75,-37.5,-86.25,-75,-97.5,-93.75,-52.5,-41.666666666666664
1041,3.75,93.75,-33.75,-78.75,-71.25,-90,-90,-48.75,-35.0
1042,0,97.5,-33.75,-78.75,-71.25,-90,-86.25,-45,-34.166666666666664
1043,-3.75,78.75,-41.25,-90,-82.5,-101.25,-101.25,-56.25,-44.166666666666664
1044,15,75,-45,-101.25,-90,-112.5,-112.5,-63.75,-48.333333333333336
1045,7.5,67.5,-45,-101.25,-93.75,-116.25,-116.25,-67.5,-51.666666666666664
1046,-22.5,41.25,-45,-105,-97.5,-120,-116.25,-71.25,-59.583333333333336
1047,-41.25,30,-48.75,-108.75,-97.5,-120,-116.25,-75,-64.16666666666667
1048,-37.5,60,-33.75,-93.75,-82.5,-101.25,-97.5,-60,-49.583333333333336
1049,-22.5,101.25,-15,-67.5,-60,-75,-71.25,-33.75,-27.083333333333332
1050,-3.75,123.75,-11.25,-63.75,-56.25,-75,-71.25,-33.75,-21.25
1051,15,112.5,-30,-82.5,-71.25,-93.75,-93.75,-52.5,-32.916666666666664
1052,11.25,86.25,-45,-101.25,-90,-112.5,-108.75,-67.5,-47.5
1053,15,90,-45,-101.25,-90,-112.5,-108.75,-67.5,-46.666666666666664
1054,7.5,93.75,-33.75,-90,-78.75,-101.25,-97.5,-56.25,-39.583333333333336
1055,-18.75,75,-37.5,-93.75,-82.5,-105,-101.25,-56.25,-46.666666666666664
1056,-52.5,33.75,-52.5,-112.5,-101.25,-120,-116.25,-75,-66.25
1057,-60,15,-52.5,-116.25,-105,-123.75,-120,-78.75,-71.25
1058,-37.5,37.5,-45,-105,-93.75,-116.25,-112.5,-71.25,-60.416666666666664
1059,-22.5,60,-41.25,-101.25,-93.75,-116.25,-108.75,-71.25,-55.0
1060,-30,56.25,-45,-101.25,-93.75,-120,-112.5,-75,-57.916666666666664
1061,-45,48.75,-45,-101.25,-93.75,-123.75,-116.25,-78.75,-61.666666666666664
1062,-18.75,78.75,-37.5,-93.75,-86.25,-116.25,-108.75,-71.25,-50.416666666666664
1063,11.25,101.25,-33.75,-90,-82.5,-112.5,-105,-63.75,-41.666666666666664
1064,-15,78.75,-41.25,-101.25,-93.75,-120,-112.5,-71.25,-52.916666666666664
1065,-56.25,48.75,-48.75,-105,-97.5,-123.75,-116.25,-75,-63.75
1066,-52.5,52.5,-45,-97.5,-90,-116.25,-108.75,-71.25,-58.75
1067,-30,60,-48.75,-105,-93.75,-123.75,-112.5,-71.25,-58.333333333333336
1068,-33.75,56.25,-48.75,-105,-97.5,-120,-112.5,-71.25,-59.166666666666664
1069,-41.25,48.75,-45,-108.75,-97.5,-123.75,-112.5,-71.25,-61.25
1070,-15,60,-45,-108.75,-97.5,-123.75,-112.5,-71.25,-57.083333333333336
1071,0,78.75,-41.25,-97.5,-90,-120,-108.75,-67.5,-49.583333333333336
1072,-3.75,75,-33.75,-93.75,-86.25,-116.25,-105,-67.5,-47.916666666666664
1073,-7.5,78.75,-22.5,-78.75,-75,-105,-97.5,-56.25,-40.416666666666664
1074,0,97.5,-18.75,-75,-71.25,-101.25,-93.75,-48.75,-34.583333333333336
1075,3.75,93.75,-33.75,-86.25,-82.5,-116.25,-105,-60,-42.916666666666664
1076,-15,67.5,-45,-101.25,-97.5,-127.5,-116.25,-71.25,-56.25
1077,-41.25,56.25,-48.75,-101.25,-97.5,-127.5,-116.25,-71.25,-60.833333333333336
1078,-11.25,93.75,-33.75,-86.25,-82.5,-112.5,-105,-56.25,-43.75
1079,33.75,123.75,-22.5,-78.75,-75,-105,-97.5,-48.75,-30.0
1080,26.25,108.75,-22.5,-82.5,-78.75,-108.75,-97.5,-52.5,-34.166666666666664
1081,3.75,90,-18.75,-82.5,-78.75,-105,-97.5,-56.25,-38.333333333333336
1082,-33.75,63.75,-15,-78.75,-75,-105,-101.25,-60,-45.0
1083,-71.25,45,-11.25,-78.75,-75,-108.75,-101.25,-60,-51.25
1084,-56.25,86.25,11.25,-60,-52.5,-86.25,-82.5,-41.25,-31.25
1085,15,161.25,37.5,-30,-30,-63.75,-56.25,-18.75,1.6666666666666667
1086,75,206.25,45,-15,-18.75,-56.25,-48.75,-7.5,20.0
1087,63.75,187.5,30,-30,-33.75,-67.5,-60,-22.5,7.5
1088,-3.75,131.25,22.5,-41.25,-41.25,-78.75,-71.25,-33.75,-12.916666666666666
1089,-45,78.75,7.5,-52.5,-56.25,-90,-86.25,-48.75,-32.5
1090,-33.75,71.25,3.75,-56.25,-63.75,-97.5,-90,-52.5,-35.416666666666664
1091,-26.25,78.75,11.25,-48.75,-52.5,-86.25,-82.5,-45,-27.916666666666668
1092,-3.75,93.75,22.5,-41.25,-45,-78.75,-78.75,-41.25,-19.166666666666668
1093,3.75,101.25,30,-37.5,-45,-78.75,-75,-41.25,-15.833333333333334
1094,-22.5,97.5,37.5,-37.5,-41.25,-71.25,-67.5,-33.75,-15.416666666666666
1095,-26.25,108.75,41.25,-33.75,-41.25,-67.5,-63.75,-30,-12.5
1096,-11.25,131.25,48.75,-18.75,-26.25,-56.25,-56.25,-22.5,-1.25
1097,-3.75,146.25,52.5,-7.5,-11.25,-48.75,-45,-11.25,7.916666666666667
1098,7.5,168.75,48.75,-3.75,-11.25,-45,-41.25,-3.75,13.333333333333334
1099,22.5,183.75,33.75,-15,-15,-48.75,-41.25,-3.75,12.916666666666666
1100,41.25,187.5,22.5,-18.75,-15,-41.25,-37.5,0,15.416666666666666
1101,56.25,183.75,7.5,-18.75,-11.25,-41.25,-37.5,0,15.416666666666666
1102,63.75,172.5,-11.25,-30,-22.5,-48.75,-41.25,-3.75,8.75
1103,67.5,153.75,-41.25,-56.25,-41.25,-67.5,-60,-18.75,-7.083333333333333
1104,41.25,138.75,-41.25,-56.25,-41.25,-67.5,-60,-18.75,-11.666666666666666
1105,56.25,157.5,-30,-45,-30,-56.25,-48.75,-7.5,-0.4166666666666667
1106,108.75,195,-18.75,-33.75,-22.5,-45,-37.5,3.75,16.666666666666668
1107,90,165,-37.5,-52.5,-37.5,-60,-48.75,-7.5,1.25
