samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
0,-22.5,-101.25,56.25,-11.25,-101.25,-101.25,-116.25,-75,-52.5
1,-37.5,-97.5,48.75,-26.25,-112.5,-116.25,-135,-90,-62.916666666666664
2,-48.75,-97.5,45,-30,-120,-127.5,-146.25,-97.5,-69.16666666666667
3,-67.5,-82.5,60,-15,-97.5,-101.25,-123.75,-78.75,-56.25
4,-120,-71.25,67.5,-7.5,-86.25,-86.25,-108.75,-71.25,-53.75
5,-135,-45,63.75,-11.25,-86.25,-82.5,-108.75,-71.25,-52.916666666666664
6,-97.5,-18.75,48.75,-18.75,-101.25,-93.75,-120,-78.75,-53.333333333333336
7,-71.25,-18.75,41.25,-26.25,-108.75,-105,-131.25,-86.25,-56.25
8,-30,-26.25,30,-37.5,-120,-123.75,-150,-101.25,-62.083333333333336
9,26.25,-56.25,22.5,-48.75,-135,-146.25,-165,-108.75,-67.91666666666667
10,26.25,-108.75,26.25,-48.75,-138.75,-150,-165,-105,-73.75
11,-18.75,-138.75,26.25,-52.5,-146.25,-153.75,-168.75,-116.25,-85.41666666666667
12,-30,-112.5,33.75,-45,-138.75,-142.5,-157.5,-108.75,-77.91666666666667
13,-18.75,-82.5,37.5,-41.25,-131.25,-135,-146.25,-90,-67.5
14,-52.5,-97.5,26.25,-52.5,-142.5,-138.75,-153.75,-97.5,-78.75
15,-131.25,-135,18.75,-60,-146.25,-150,-165,-116.25,-98.33333333333333
16,-195,-138.75,30,-52.5,-142.5,-138.75,-157.5,-112.5,-100.83333333333333
17,-165,-67.5,33.75,-45,-131.25,-120,-146.25,-97.5,-82.08333333333333
18,-78.75,0,45,-26.25,-108.75,-101.25,-123.75,-75,-52.083333333333336
19,-11.25,18.75,60,-15,-97.5,-90,-116.25,-63.75,-35.0
20,22.5,7.5,56.25,-22.5,-105,-97.5,-127.5,-71.25,-37.5
21,52.5,-33.75,26.25,-52.5,-138.75,-135,-157.5,-93.75,-59.166666666666664
22,52.5,-75,18.75,-60,-153.75,-153.75,-168.75,-105,-71.66666666666667
23,7.5,-90,33.75,-52.5,-146.25,-142.5,-161.25,-97.5,-72.08333333333333
24,-33.75,-116.25,30,-60,-150,-150,-165,-101.25,-82.91666666666667
25,-45,-120,30,-60,-150,-146.25,-165,-101.25,-84.16666666666667
26,-45,-120,37.5,-52.5,-142.5,-138.75,-157.5,-97.5,-79.58333333333333
27,-71.25,-131.25,45,-48.75,-138.75,-131.25,-153.75,-93.75,-80.41666666666667
28,-135,-123.75,52.5,-45,-135,-120,-146.25,-90,-82.5
29,-172.5,-112.5,52.5,-48.75,-138.75,-120,-146.25,-90,-86.25
30,-127.5,-78.75,48.75,-52.5,-138.75,-120,-146.25,-86.25,-77.91666666666667
31,-78.75,-22.5,41.25,-52.5,-131.25,-116.25,-142.5,-78.75,-64.58333333333333
32,-41.25,7.5,30,-56.25,-138.75,-127.5,-153.75,-86.25,-62.916666666666664
33,-18.75,-60,7.5,-82.5,-172.5,-168.75,-191.25,-120,-89.58333333333333
34,-7.5,-127.5,0,-101.25,-191.25,-187.5,-206.25,-142.5,-107.08333333333333
35,3.75,-120,22.5,-78.75,-172.5,-165,-183.75,-120,-90.41666666666667
36,3.75,-90,30,-71.25,-161.25,-153.75,-168.75,-105,-79.58333333333333
37,-30,-86.25,15,-86.25,-176.25,-168.75,-183.75,-120,-92.91666666666667
38,-67.5,-123.75,7.5,-93.75,-187.5,-176.25,-195,-123.75,-106.66666666666667
39,-75,-123.75,41.25,-63.75,-153.75,-138.75,-161.25,-90,-85.0
40,-86.25,-71.25,71.25,-37.5,-123.75,-108.75,-135,-71.25,-62.5
41,-108.75,-52.5,67.5,-37.5,-123.75,-108.75,-138.75,-78.75,-64.58333333333333
42,-93.75,-52.5,45,-56.25,-146.25,-131.25,-161.25,-97.5,-77.08333333333333
43,-75,-33.75,18.75,-78.75,-165,-150,-176.25,-112.5,-85.83333333333333
44,-52.5,-37.5,0,-97.5,-183.75,-165,-187.5,-120,-93.75
45,-15,-63.75,-22.5,-120,-210,-191.25,-206.25,-135,-107.08333333333333
46,-15,-82.5,-18.75,-120,-210,-195,-210,-135,-109.58333333333333
47,-41.25,-101.25,3.75,-101.25,-195,-183.75,-198.75,-127.5,-105.0
