samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
0,-26.25,7.5,0,-15,-165,-93.75,-93.75,-67.5,-50.416666666666664
1,-33.75,-3.75,-3.75,-22.5,-168.75,-97.5,-93.75,-67.5,-54.583333333333336
2,-30,0,-3.75,-26.25,-172.5,-97.5,-97.5,-63.75,-54.583333333333336
3,-26.25,0,-7.5,-30,-172.5,-97.5,-97.5,-67.5,-55.416666666666664
4,-30,0,-11.25,-33.75,-176.25,-105,-105,-78.75,-60.0
5,-37.5,0,-11.25,-37.5,-180,-105,-105,-75,-61.25
6,-37.5,11.25,-11.25,-41.25,-180,-105,-105,-78.75,-60.833333333333336
7,-45,11.25,-7.5,-41.25,-183.75,-108.75,-108.75,-82.5,-62.916666666666664
8,-56.25,0,-7.5,-45,-187.5,-116.25,-116.25,-90,-68.75
9,-48.75,7.5,-15,-48.75,-187.5,-116.25,-116.25,-90,-68.33333333333333
10,-33.75,11.25,-11.25,-45,-187.5,-112.5,-108.75,-82.5,-63.333333333333336
11,-26.25,11.25,-7.5,-33.75,-180,-97.5,-97.5,-67.5,-55.416666666666664
12,-22.5,3.75,-7.5,-33.75,-180,-93.75,-93.75,-63.75,-54.583333333333336
13,-30,-7.5,-18.75,-41.25,-183.75,-101.25,-97.5,-67.5,-60.833333333333336
14,-37.5,-7.5,-15,-45,-183.75,-101.25,-101.25,-67.5,-62.083333333333336
15,-37.5,0,-11.25,-45,-183.75,-101.25,-97.5,-63.75,-60.0
16,-33.75,-3.75,-15,-48.75,-187.5,-101.25,-101.25,-67.5,-62.083333333333336
17,-37.5,-15,-22.5,-56.25,-195,-112.5,-108.75,-78.75,-69.58333333333333
18,-52.5,-11.25,-22.5,-63.75,-202.5,-116.25,-116.25,-86.25,-74.58333333333333
19,-56.25,7.5,-18.75,-60,-198.75,-116.25,-116.25,-86.25,-71.66666666666667
20,-45,18.75,-18.75,-60,-198.75,-116.25,-116.25,-86.25,-69.16666666666667
21,-45,7.5,-18.75,-60,-202.5,-116.25,-116.25,-86.25,-70.83333333333333
22,-41.25,3.75,-18.75,-60,-198.75,-116.25,-112.5,-82.5,-69.58333333333333
23,-22.5,7.5,-18.75,-52.5,-198.75,-112.5,-112.5,-78.75,-65.41666666666667
24,-15,7.5,-22.5,-52.5,-198.75,-112.5,-108.75,-75,-64.16666666666667
25,-26.25,3.75,-22.5,-56.25,-195,-108.75,-105,-67.5,-64.16666666666667
26,-48.75,-18.75,-30,-67.5,-206.25,-116.25,-112.5,-75,-75.0
27,-41.25,-22.5,-33.75,-71.25,-206.25,-116.25,-116.25,-78.75,-76.25
28,-30,-7.5,-30,-71.25,-206.25,-116.25,-112.5,-71.25,-71.66666666666667
29,-37.5,-3.75,-33.75,-75,-213.75,-120,-116.25,-78.75,-75.41666666666667
30,-52.5,-3.75,-33.75,-78.75,-217.5,-123.75,-120,-82.5,-79.16666666666667
31,-52.5,0,-41.25,-90,-225,-135,-131.25,-97.5,-85.83333333333333
32,-48.75,3.75,-33.75,-82.5,-221.25,-135,-131.25,-101.25,-83.33333333333333
33,-45,3.75,-33.75,-82.5,-221.25,-138.75,-131.25,-101.25,-83.33333333333333
34,-37.5,11.25,-30,-78.75,-213.75,-131.25,-127.5,-93.75,-77.91666666666667
35,-22.5,18.75,-30,-71.25,-206.25,-120,-112.5,-78.75,-69.16666666666667
36,-15,7.5,-30,-71.25,-202.5,-116.25,-108.75,-71.25,-67.5
37,-22.5,-11.25,-30,-75,-206.25,-116.25,-108.75,-71.25,-71.25
38,-33.75,-18.75,-30,-78.75,-206.25,-116.25,-108.75,-71.25,-73.75
39,-41.25,-22.5,-33.75,-82.5,-210,-123.75,-116.25,-75,-78.33333333333333
40,-41.25,-15,-37.5,-86.25,-213.75,-127.5,-116.25,-75,-79.16666666666667
41,-45,-7.5,-37.5,-90,-217.5,-131.25,-120,-78.75,-80.83333333333333
42,-56.25,-7.5,-41.25,-97.5,-221.25,-138.75,-127.5,-90,-86.66666666666667
43,-60,-3.75,-45,-101.25,-225,-142.5,-135,-97.5,-90.0
44,-63.75,0,-41.25,-101.25,-228.75,-142.5,-138.75,-101.25,-90.83333333333333
45,-60,7.5,-37.5,-101.25,-228.75,-142.5,-135,-101.25,-88.75
46,-48.75,11.25,-33.75,-90,-221.25,-135,-127.5,-93.75,-82.08333333333333
47,-33.75,7.5,-30,-82.5,-210,-127.5,-120,-82.5,-75.41666666666667
48,-30,0,-37.5,-82.5,-213.75,-127.5,-116.25,-75,-75.83333333333333
49,-41.25,-15,-45,-93.75,-221.25,-131.25,-120,-78.75,-82.91666666666667
50,-45,-11.25,-45,-97.5,-221.25,-131.25,-123.75,-82.5,-84.16666666666667
51,-41.25,-3.75,-45,-97.5,-221.25,-131.25,-120,-78.75,-82.08333333333333
52,-45,-7.5,-45,-101.25,-221.25,-135,-123.75,-82.5,-84.58333333333333
53,-52.5,-15,-48.75,-105,-225,-138.75,-127.5,-86.25,-88.75
54,-63.75,-22.5,-56.25,-120,-236.25,-150,-135,-93.75,-97.5
55,-75,-30,-56.25,-120,-240,-153.75,-146.25,-105,-102.91666666666667
56,-67.5,-18.75,-56.25,-120,-240,-153.75,-150,-112.5,-102.08333333333333
57,-60,-7.5,-48.75,-116.25,-236.25,-150,-142.5,-105,-96.25
58,-48.75,0,-52.5,-116.25,-236.25,-150,-142.5,-101.25,-94.16666666666667
59,-41.25,3.75,-48.75,-108.75,-232.5,-142.5,-135,-93.75,-88.75
60,-33.75,0,-48.75,-101.25,-225,-135,-127.5,-86.25,-84.16666666666667
61,-41.25,-11.25,-52.5,-108.75,-225,-138.75,-127.5,-86.25,-87.91666666666667
62,-45,-11.25,-48.75,-108.75,-225,-138.75,-127.5,-82.5,-87.5
63,-48.75,-15,-56.25,-116.25,-236.25,-146.25,-135,-90,-93.75
64,-48.75,-22.5,-52.5,-120,-236.25,-146.25,-138.75,-90,-95.0
65,-60,-30,-48.75,-116.25,-232.5,-142.5,-135,-90,-95.0
66,-75,-30,-52.5,-123.75,-240,-150,-142.5,-101.25,-101.66666666666667
67,-67.5,-15,-56.25,-127.5,-243.75,-153.75,-150,-105,-102.08333333333333
68,-63.75,-11.25,-56.25,-127.5,-243.75,-157.5,-153.75,-112.5,-102.91666666666667
69,-56.25,-11.25,-52.5,-123.75,-240,-153.75,-146.25,-108.75,-99.16666666666667
70,-48.75,-7.5,-48.75,-116.25,-236.25,-150,-142.5,-101.25,-94.58333333333333
71,-37.5,0,-48.75,-112.5,-228.75,-138.75,-131.25,-86.25,-87.08333333333333
72,-37.5,-15,-52.5,-112.5,-228.75,-138.75,-127.5,-78.75,-87.91666666666667
73,-45,-30,-56.25,-120,-236.25,-142.5,-131.25,-82.5,-93.75
74,-45,-26.25,-56.25,-120,-236.25,-142.5,-135,-86.25,-94.16666666666667
75,-37.5,-11.25,-52.5,-116.25,-228.75,-138.75,-131.25,-82.5,-88.75
76,-45,-11.25,-56.25,-116.25,-232.5,-138.75,-131.25,-86.25,-90.83333333333333
77,-60,-22.5,-60,-127.5,-240,-146.25,-138.75,-93.75,-98.75
78,-63.75,-26.25,-60,-131.25,-243.75,-153.75,-146.25,-101.25,-102.91666666666667
79,-63.75,-15,-60,-135,-247.5,-157.5,-146.25,-105,-103.33333333333333
80,-56.25,-3.75,-56.25,-138.75,-255,-161.25,-150,-108.75,-103.33333333333333
81,-56.25,-3.75,-56.25,-127.5,-247.5,-157.5,-150,-108.75,-100.83333333333333
82,-52.5,-7.5,-52.5,-123.75,-240,-153.75,-142.5,-105,-97.5
83,-37.5,-7.5,-45,-116.25,-232.5,-142.5,-131.25,-90,-89.16666666666667
84,-30,-7.5,-48.75,-112.5,-228.75,-135,-123.75,-82.5,-85.41666666666667
85,-45,-22.5,-52.5,-116.25,-232.5,-142.5,-131.25,-82.5,-91.66666666666667
86,-52.5,-30,-52.5,-120,-236.25,-142.5,-131.25,-82.5,-94.16666666666667
87,-52.5,-26.25,-52.5,-120,-236.25,-138.75,-131.25,-82.5,-93.33333333333333
88,-52.5,-22.5,-52.5,-120,-232.5,-138.75,-127.5,-82.5,-92.08333333333333
89,-60,-30,-56.25,-127.5,-240,-142.5,-135,-90,-97.91666666666667
90,-67.5,-26.25,-63.75,-138.75,-247.5,-153.75,-142.5,-97.5,-104.16666666666667
91,-71.25,-18.75,-60,-138.75,-251.25,-157.5,-146.25,-105,-105.41666666666667
92,-60,-15,-60,-135,-251.25,-161.25,-150,-108.75,-104.58333333333333
93,-56.25,-11.25,-56.25,-131.25,-243.75,-153.75,-146.25,-105,-100.41666666666667
94,-56.25,-3.75,-56.25,-127.5,-243.75,-153.75,-142.5,-105,-98.75
95,-41.25,0,-52.5,-120,-236.25,-146.25,-135,-93.75,-91.66666666666667
96,-30,-3.75,-52.5,-116.25,-236.25,-142.5,-127.5,-86.25,-88.33333333333333
97,-41.25,-15,-56.25,-120,-240,-146.25,-131.25,-86.25,-92.91666666666667
98,-45,-22.5,-56.25,-123.75,-243.75,-146.25,-135,-90,-95.83333333333333
99,-48.75,-30,-56.25,-123.75,-240,-146.25,-135,-90,-96.66666666666667
100,-48.75,-30,-56.25,-120,-240,-146.25,-131.25,-90,-95.83333333333333
101,-48.75,-18.75,-52.5,-123.75,-243.75,-150,-135,-90,-95.83333333333333
102,-52.5,-7.5,-60,-131.25,-247.5,-153.75,-142.5,-101.25,-99.58333333333333
103,-67.5,-3.75,-56.25,-127.5,-247.5,-153.75,-142.5,-101.25,-100.0
104,-75,-15,-52.5,-127.5,-247.5,-157.5,-146.25,-108.75,-103.33333333333333
105,-78.75,-33.75,-56.25,-131.25,-251.25,-165,-150,-112.5,-108.75
106,-67.5,-22.5,-48.75,-127.5,-247.5,-157.5,-146.25,-108.75,-102.91666666666667
107,-48.75,-7.5,-45,-112.5,-232.5,-146.25,-131.25,-93.75,-90.83333333333333
108,-41.25,-11.25,-48.75,-116.25,-228.75,-138.75,-123.75,-86.25,-88.33333333333333
109,-52.5,-26.25,-52.5,-127.5,-240,-146.25,-131.25,-90,-96.25
110,-56.25,-37.5,-56.25,-127.5,-240,-150,-135,-90,-99.16666666666667
111,-48.75,-37.5,-56.25,-123.75,-236.25,-146.25,-135,-90,-97.08333333333333
112,-48.75,-30,-56.25,-127.5,-240,-146.25,-135,-90,-97.08333333333333
113,-56.25,-26.25,-60,-131.25,-243.75,-150,-138.75,-93.75,-100.0
114,-63.75,-26.25,-63.75,-138.75,-251.25,-153.75,-142.5,-101.25,-104.58333333333333
115,-71.25,-22.5,-63.75,-142.5,-255,-157.5,-150,-108.75,-107.91666666666667
116,-75,-15,-56.25,-138.75,-255,-161.25,-150,-108.75,-106.66666666666667
117,-67.5,-11.25,-56.25,-138.75,-255,-161.25,-150,-108.75,-105.41666666666667
118,-56.25,-7.5,-56.25,-131.25,-247.5,-157.5,-146.25,-105,-100.83333333333333
119,-48.75,-3.75,-48.75,-120,-236.25,-150,-135,-93.75,-92.91666666666667
120,-37.5,-7.5,-52.5,-112.5,-228.75,-138.75,-127.5,-82.5,-87.5
121,-45,-22.5,-52.5,-127.5,-243.75,-146.25,-127.5,-86.25,-94.58333333333333
122,-52.5,-26.25,-52.5,-142.5,-258.75,-150,-131.25,-86.25,-100.0
123,-52.5,-18.75,-52.5,-127.5,-243.75,-146.25,-131.25,-86.25,-95.41666666666667
124,-52.5,-18.75,-52.5,-120,-236.25,-142.5,-131.25,-86.25,-93.33333333333333
125,-60,-22.5,-56.25,-131.25,-243.75,-150,-138.75,-93.75,-99.58333333333333
126,-63.75,-11.25,-56.25,-131.25,-247.5,-153.75,-142.5,-101.25,-100.83333333333333
127,-67.5,7.5,-45,-123.75,-240,-150,-138.75,-101.25,-95.41666666666667
128,-71.25,11.25,-41.25,-123.75,-240,-150,-138.75,-101.25,-95.0
129,-67.5,22.5,-30,-112.5,-228.75,-142.5,-127.5,-93.75,-86.66666666666667
130,-52.5,48.75,-22.5,-101.25,-217.5,-131.25,-120,-82.5,-75.41666666666667
131,-26.25,67.5,-11.25,-86.25,-206.25,-120,-105,-67.5,-61.666666666666664
132,-18.75,63.75,3.75,-75,-198.75,-108.75,-93.75,-56.25,-53.75
133,-41.25,45,0,-82.5,-202.5,-112.5,-97.5,-60,-61.25
134,-56.25,33.75,-3.75,-86.25,-206.25,-116.25,-101.25,-63.75,-66.66666666666667
135,-60,30,-3.75,-90,-206.25,-116.25,-105,-67.5,-68.75
136,-52.5,37.5,3.75,-82.5,-202.5,-112.5,-101.25,-63.75,-63.75
137,-48.75,41.25,0,-86.25,-206.25,-116.25,-105,-67.5,-65.41666666666667
138,-48.75,41.25,-7.5,-93.75,-213.75,-127.5,-116.25,-78.75,-71.66666666666667
139,-56.25,45,-3.75,-93.75,-213.75,-127.5,-116.25,-78.75,-71.66666666666667
140,-56.25,45,3.75,-90,-210,-123.75,-116.25,-78.75,-69.58333333333333
141,-45,56.25,7.5,-78.75,-202.5,-120,-112.5,-78.75,-63.75
142,-37.5,71.25,15,-71.25,-191.25,-108.75,-101.25,-63.75,-54.166666666666664
143,-30,78.75,22.5,-56.25,-180,-97.5,-86.25,-48.75,-44.166666666666664
144,-22.5,71.25,22.5,-52.5,-176.25,-93.75,-82.5,-45,-42.083333333333336
145,-30,60,18.75,-60,-180,-93.75,-86.25,-48.75,-46.666666666666664
146,-37.5,67.5,11.25,-63.75,-180,-93.75,-82.5,-41.25,-46.666666666666664
147,-26.25,86.25,0,-63.75,-176.25,-86.25,-75,-33.75,-41.666666666666664
148,-11.25,93.75,-15,-67.5,-176.25,-82.5,-71.25,-30,-40.0
149,-15,78.75,-37.5,-82.5,-187.5,-97.5,-82.5,-41.25,-51.666666666666664
150,-30,63.75,-56.25,-105,-206.25,-112.5,-97.5,-56.25,-66.66666666666667
151,-30,67.5,-60,-112.5,-213.75,-120,-108.75,-63.75,-71.25
152,-15,78.75,-60,-108.75,-210,-116.25,-105,-63.75,-66.66666666666667
153,-15,82.5,-56.25,-105,-206.25,-116.25,-101.25,-60,-64.16666666666667
154,-11.25,86.25,-56.25,-101.25,-206.25,-108.75,-97.5,-52.5,-60.833333333333336
155,3.75,78.75,-60,-101.25,-206.25,-108.75,-93.75,-48.75,-59.583333333333336
156,15,63.75,-67.5,-101.25,-202.5,-105,-90,-41.25,-58.75
157,3.75,37.5,-78.75,-116.25,-213.75,-116.25,-97.5,-45,-69.58333333333333
158,-3.75,22.5,-86.25,-127.5,-228.75,-123.75,-105,-52.5,-78.33333333333333
159,-7.5,33.75,-78.75,-131.25,-228.75,-123.75,-105,-52.5,-77.08333333333333
160,-11.25,41.25,-71.25,-123.75,-221.25,-120,-101.25,-52.5,-73.33333333333333
161,-7.5,33.75,-75,-127.5,-225,-127.5,-112.5,-63.75,-78.33333333333333
162,-15,26.25,-71.25,-131.25,-228.75,-135,-120,-75,-83.33333333333333
163,-22.5,30,-67.5,-131.25,-232.5,-138.75,-123.75,-82.5,-85.41666666666667
164,-26.25,41.25,-63.75,-123.75,-228.75,-135,-120,-78.75,-81.66666666666667
165,-22.5,48.75,-56.25,-120,-221.25,-131.25,-116.25,-75,-77.08333333333333
166,-15,52.5,-56.25,-116.25,-221.25,-131.25,-112.5,-71.25,-74.58333333333333
167,-11.25,52.5,-48.75,-108.75,-213.75,-123.75,-105,-63.75,-69.16666666666667
168,-11.25,26.25,-52.5,-112.5,-221.25,-127.5,-108.75,-63.75,-74.58333333333333
169,-22.5,-3.75,-63.75,-123.75,-232.5,-138.75,-116.25,-71.25,-85.83333333333333
170,-30,0,-71.25,-135,-240,-142.5,-123.75,-78.75,-91.25
171,-33.75,11.25,-67.5,-131.25,-236.25,-138.75,-123.75,-75,-88.33333333333333
172,-37.5,7.5,-63.75,-131.25,-240,-146.25,-127.5,-82.5,-91.25
173,-48.75,-11.25,-71.25,-142.5,-247.5,-153.75,-135,-90,-100.0
174,-60,-18.75,-75,-153.75,-258.75,-165,-146.25,-105,-109.16666666666667
175,-78.75,-22.5,-75,-161.25,-266.25,-176.25,-157.5,-120,-117.5
176,-82.5,-26.25,-71.25,-168.75,-277.5,-183.75,-165,-127.5,-122.5
177,-63.75,-18.75,-67.5,-157.5,-266.25,-176.25,-157.5,-120,-114.16666666666667
178,-56.25,-11.25,-63.75,-146.25,-255,-165,-150,-116.25,-107.08333333333333
179,-56.25,-15,-67.5,-146.25,-255,-165,-142.5,-108.75,-106.25
180,-56.25,-30,-67.5,-142.5,-251.25,-157.5,-135,-93.75,-103.75
181,-56.25,-33.75,-71.25,-142.5,-247.5,-157.5,-131.25,-93.75,-103.75
182,-60,-30,-67.5,-138.75,-243.75,-150,-127.5,-93.75,-101.25
183,-63.75,-30,-63.75,-138.75,-243.75,-150,-127.5,-90,-100.83333333333333
184,-75,-41.25,-63.75,-142.5,-247.5,-153.75,-131.25,-93.75,-105.41666666666667
185,-82.5,-41.25,-71.25,-150,-255,-161.25,-138.75,-101.25,-111.25
186,-78.75,-33.75,-71.25,-153.75,-258.75,-165,-142.5,-108.75,-112.5
187,-78.75,-33.75,-75,-157.5,-262.5,-168.75,-150,-116.25,-115.83333333333333
188,-67.5,-26.25,-75,-157.5,-262.5,-172.5,-153.75,-120,-115.0
189,-63.75,-18.75,-71.25,-153.75,-262.5,-172.5,-153.75,-120,-112.91666666666667
190,-71.25,-18.75,-71.25,-150,-258.75,-168.75,-150,-116.25,-111.66666666666667
191,-60,-22.5,-67.5,-142.5,-251.25,-161.25,-142.5,-108.75,-106.25
192,-37.5,-22.5,-56.25,-131.25,-240,-146.25,-127.5,-93.75,-95.0
193,-41.25,-26.25,-63.75,-135,-243.75,-150,-131.25,-93.75,-98.33333333333333
194,-63.75,-37.5,-71.25,-138.75,-247.5,-157.5,-138.75,-101.25,-106.25
195,-63.75,-37.5,-67.5,-138.75,-247.5,-157.5,-138.75,-105,-106.25
196,-52.5,-41.25,-60,-131.25,-251.25,-165,-146.25,-112.5,-106.66666666666667
197,-56.25,-71.25,-37.5,-112.5,-251.25,-176.25,-168.75,-135,-112.08333333333333
198,-67.5,-101.25,7.5,-71.25,-243.75,-191.25,-191.25,-165,-113.75
199,-71.25,-123.75,71.25,-22.5,-236.25,-210,-217.5,-198.75,-112.08333333333333
200,-52.5,-146.25,127.5,18.75,-236.25,-232.5,-247.5,-236.25,-111.66666666666667
201,-33.75,-157.5,180,63.75,-232.5,-243.75,-266.25,-251.25,-104.58333333333333
202,-18.75,-131.25,236.25,131.25,-195,-221.25,-247.5,-236.25,-75.83333333333333
203,11.25,-86.25,288.75,221.25,-127.5,-172.5,-206.25,-198.75,-30.0
204,56.25,-33.75,333.75,315,-52.5,-108.75,-150,-146.25,23.75
205,93.75,22.5,367.5,393.75,26.25,-41.25,-86.25,-93.75,75.83333333333333
206,135,97.5,390,461.25,101.25,33.75,-18.75,-30,130.0
207,168.75,168.75,408.75,517.5,168.75,108.75,52.5,37.5,181.25
208,217.5,255,423.75,581.25,243.75,191.25,138.75,116.25,240.83333333333334
209,266.25,356.25,416.25,637.5,337.5,296.25,247.5,217.5,308.3333333333333
210,311.25,465,378.75,667.5,423.75,412.5,363.75,330,372.5
211,352.5,600,307.5,660,506.25,525,483.75,442.5,430.8333333333333
212,405,761.25,221.25,637.5,592.5,656.25,626.25,581.25,497.9166666666667
213,446.25,926.25,168.75,645,701.25,806.25,787.5,735,579.5833333333334
214,457.5,1117.5,138.75,645,806.25,960,952.5,900,664.1666666666666
215,465,1350,30,536.25,855,1102.5,1132.5,1091.25,729.1666666666666
216,480,1582.5,-135,378.75,877.5,1245,1323.75,1305,784.1666666666666
217,498.75,1736.25,-311.25,191.25,881.25,1353.75,1470,1466.25,809.5833333333334
218,480,1818.75,-487.5,-7.5,870,1440,1575,1567.5,806.25
219,420,1878.75,-600,-127.5,903.75,1530,1672.5,1650,814.1666666666666
220,326.25,1867.5,-611.25,-146.25,960,1601.25,1717.5,1676.25,821.25
221,232.5,1785,-603.75,-165,990,1616.25,1702.5,1627.5,798.3333333333334
222,157.5,1698.75,-660,-262.5,956.25,1578.75,1642.5,1552.5,740.4166666666666
223,86.25,1586.25,-746.25,-420,821.25,1436.25,1496.25,1413.75,630.4166666666666
224,-22.5,1372.5,-753.75,-540,618.75,1181.25,1241.25,1181.25,475.4166666666667
225,-120,1125,-716.25,-637.5,363.75,866.25,941.25,911.25,303.75
226,-168.75,900,-720,-787.5,48.75,521.25,641.25,667.5,122.5
227,-202.5,686.25,-742.5,-945,-270,187.5,352.5,435,-55.416666666666664
