samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
0,-37.5,101.25,-22.5,-63.75,-52.5,-90,-63.75,-18.75,-27.5
1,-45,86.25,-30,-63.75,-56.25,-93.75,-67.5,-18.75,-32.083333333333336
2,-48.75,71.25,-37.5,-71.25,-63.75,-105,-75,-26.25,-39.583333333333336
3,-67.5,48.75,-56.25,-93.75,-86.25,-127.5,-97.5,-48.75,-58.75
4,-71.25,41.25,-67.5,-108.75,-97.5,-135,-105,-52.5,-66.25
5,-52.5,48.75,-63.75,-108.75,-97.5,-127.5,-97.5,-45,-60.416666666666664
6,-37.5,56.25,-60,-105,-93.75,-127.5,-97.5,-45,-56.666666666666664
7,-30,60,-52.5,-105,-93.75,-127.5,-101.25,-45,-55.0
8,-45,52.5,-48.75,-108.75,-97.5,-127.5,-97.5,-45,-57.5
9,-63.75,37.5,-48.75,-112.5,-105,-131.25,-101.25,-48.75,-63.75
10,-60,37.5,-45,-112.5,-101.25,-131.25,-101.25,-52.5,-62.916666666666664
11,-45,45,-41.25,-108.75,-101.25,-131.25,-105,-56.25,-60.416666666666664
12,-56.25,37.5,-41.25,-108.75,-101.25,-131.25,-105,-56.25,-62.5
13,-82.5,30,-33.75,-97.5,-93.75,-127.5,-97.5,-48.75,-61.25
14,-82.5,41.25,-26.25,-90,-86.25,-120,-93.75,-41.25,-55.416666666666664
15,-56.25,56.25,-26.25,-90,-90,-123.75,-97.5,-45,-52.5
16,-56.25,52.5,-30,-97.5,-97.5,-127.5,-101.25,-52.5,-56.666666666666664
17,-67.5,37.5,-33.75,-105,-105,-135,-108.75,-56.25,-63.75
18,-75,26.25,-37.5,-112.5,-108.75,-138.75,-112.5,-60,-68.75
19,-82.5,11.25,-41.25,-120,-116.25,-146.25,-120,-67.5,-75.83333333333333
20,-90,-3.75,-48.75,-127.5,-123.75,-153.75,-131.25,-78.75,-84.16666666666667
21,-108.75,-11.25,-45,-131.25,-127.5,-157.5,-131.25,-82.5,-88.33333333333333
22,-112.5,7.5,-30,-120,-116.25,-146.25,-120,-71.25,-78.75
23,-97.5,26.25,-18.75,-108.75,-108.75,-142.5,-120,-71.25,-71.25
24,-71.25,33.75,-18.75,-112.5,-112.5,-146.25,-123.75,-75,-69.58333333333333
25,-63.75,45,-18.75,-112.5,-112.5,-146.25,-123.75,-71.25,-67.08333333333333
26,-86.25,30,-22.5,-108.75,-112.5,-146.25,-123.75,-71.25,-71.25
27,-105,-11.25,-48.75,-131.25,-135,-168.75,-146.25,-93.75,-93.33333333333333
28,-112.5,-22.5,-52.5,-142.5,-142.5,-176.25,-153.75,-101.25,-100.41666666666667
29,-108.75,-3.75,-41.25,-131.25,-131.25,-161.25,-142.5,-86.25,-89.58333333333333
30,-105,7.5,-37.5,-123.75,-127.5,-157.5,-135,-82.5,-84.58333333333333
31,-101.25,0,-41.25,-127.5,-127.5,-157.5,-138.75,-86.25,-86.66666666666667
32,-108.75,-15,-45,-138.75,-135,-165,-146.25,-93.75,-94.16666666666667
33,-120,-22.5,-48.75,-142.5,-138.75,-172.5,-150,-97.5,-99.16666666666667
34,-120,-22.5,-48.75,-142.5,-138.75,-168.75,-150,-97.5,-98.75
35,-116.25,-15,-48.75,-138.75,-135,-165,-146.25,-97.5,-95.83333333333333
36,-105,3.75,-37.5,-127.5,-127.5,-157.5,-135,-86.25,-85.83333333333333
37,-86.25,22.5,-30,-123.75,-123.75,-153.75,-131.25,-82.5,-78.75
38,-82.5,22.5,-30,-116.25,-120,-150,-127.5,-78.75,-75.83333333333333
39,-97.5,0,-41.25,-123.75,-127.5,-161.25,-138.75,-86.25,-86.25
40,-123.75,-33.75,-52.5,-138.75,-138.75,-168.75,-150,-101.25,-100.83333333333333
41,-142.5,-48.75,-56.25,-142.5,-142.5,-172.5,-150,-101.25,-106.25
42,-108.75,-18.75,-48.75,-135,-131.25,-165,-142.5,-90,-93.33333333333333
43,-116.25,-30,-52.5,-138.75,-138.75,-168.75,-146.25,-97.5,-98.75
44,-146.25,-45,-56.25,-146.25,-142.5,-172.5,-150,-101.25,-106.66666666666667
45,-120,-15,-45,-135,-131.25,-161.25,-138.75,-90,-92.91666666666667
46,-108.75,-3.75,-41.25,-131.25,-127.5,-153.75,-135,-86.25,-87.5
47,-123.75,-22.5,-45,-135,-135,-161.25,-142.5,-97.5,-95.83333333333333
48,-101.25,-7.5,-30,-120,-127.5,-161.25,-142.5,-97.5,-87.5
49,-71.25,11.25,-3.75,-90,-108.75,-157.5,-142.5,-97.5,-73.33333333333333
50,-97.5,-26.25,30,-56.25,-105,-172.5,-165,-120,-79.16666666666667
51,-127.5,-67.5,75,-11.25,-101.25,-187.5,-191.25,-153.75,-85.0
52,-93.75,-78.75,120,26.25,-105,-217.5,-228.75,-187.5,-85.0
53,-60,-75,165,60,-112.5,-243.75,-258.75,-217.5,-82.5
54,-71.25,-78.75,206.25,101.25,-97.5,-243.75,-266.25,-221.25,-74.58333333333333
55,-82.5,-78.75,236.25,153.75,-63.75,-228.75,-255,-213.75,-59.166666666666664
56,-56.25,-33.75,270,221.25,-15,-187.5,-217.5,-187.5,-22.916666666666668
57,-7.5,41.25,311.25,296.25,56.25,-127.5,-165,-138.75,29.583333333333332
58,33.75,97.5,337.5,363.75,123.75,-67.5,-105,-86.25,77.5
