samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
0,52.5,-93.75,93.75,157.5,41.25,-3.75,-45,15,24.166666666666668
1,56.25,-90,86.25,150,33.75,-7.5,-48.75,7.5,20.833333333333332
2,67.5,-67.5,93.75,157.5,45,0,-45,11.25,29.166666666666668
3,75,-52.5,101.25,168.75,56.25,11.25,-33.75,22.5,38.75
4,67.5,-63.75,105,176.25,60,15,-30,22.5,39.166666666666664
5,63.75,-71.25,108.75,180,63.75,11.25,-30,22.5,38.75
6,86.25,-63.75,112.5,191.25,71.25,22.5,-22.5,33.75,47.916666666666664
7,93.75,-71.25,112.5,198.75,78.75,30,-11.25,45,52.916666666666664
8,90,-82.5,116.25,198.75,78.75,30,-7.5,48.75,52.5
9,90,-82.5,116.25,195,78.75,33.75,-11.25,48.75,52.083333333333336
10,97.5,-78.75,112.5,198.75,78.75,37.5,-7.5,48.75,54.166666666666664
11,90,-82.5,108.75,202.5,78.75,37.5,-7.5,48.75,52.916666666666664
12,82.5,-86.25,105,191.25,75,33.75,-15,45,47.916666666666664
13,82.5,-78.75,101.25,187.5,75,30,-18.75,33.75,45.833333333333336
14,78.75,-67.5,97.5,191.25,71.25,26.25,-22.5,30,45.0
15,82.5,-56.25,105,195,71.25,30,-15,37.5,50.0
16,90,-48.75,108.75,206.25,86.25,37.5,-11.25,41.25,56.666666666666664
17,108.75,-37.5,105,213.75,93.75,45,-3.75,48.75,63.75
18,131.25,-30,112.5,217.5,97.5,56.25,7.5,63.75,72.91666666666667
19,138.75,-37.5,116.25,225,101.25,60,15,71.25,76.66666666666667
20,120,-48.75,112.5,225,105,60,18.75,71.25,73.75
21,116.25,-48.75,105,221.25,101.25,60,15,67.5,70.83333333333333
22,120,-45,108.75,225,105,63.75,18.75,71.25,74.16666666666667
23,116.25,-45,108.75,225,105,63.75,18.75,71.25,73.75
24,112.5,-41.25,105,221.25,101.25,63.75,15,71.25,72.08333333333333
25,123.75,-26.25,105,217.5,101.25,63.75,15,71.25,74.58333333333333
26,131.25,-22.5,101.25,217.5,97.5,56.25,7.5,63.75,72.5
27,123.75,-30,101.25,213.75,93.75,52.5,3.75,60,68.75
28,116.25,-33.75,105,217.5,97.5,56.25,11.25,67.5,70.83333333333333
29,131.25,-26.25,105,225,105,63.75,15,71.25,76.66666666666667
30,146.25,-30,105,232.5,112.5,71.25,22.5,82.5,82.5
31,153.75,-37.5,105,236.25,116.25,78.75,30,90,85.83333333333333
32,157.5,-26.25,105,236.25,120,82.5,37.5,101.25,90.41666666666667
33,161.25,-11.25,108.75,232.5,116.25,82.5,41.25,105,92.91666666666667
34,168.75,-7.5,108.75,228.75,108.75,82.5,41.25,101.25,92.5
35,168.75,-11.25,105,225,105,78.75,37.5,101.25,90.0
36,168.75,-11.25,101.25,217.5,97.5,75,33.75,97.5,86.66666666666667
37,165,-7.5,97.5,217.5,97.5,71.25,30,90,84.58333333333333
38,165,3.75,97.5,217.5,97.5,67.5,26.25,86.25,84.58333333333333
39,165,7.5,93.75,206.25,90,60,26.25,82.5,81.25
40,172.5,11.25,90,210,93.75,67.5,30,86.25,84.58333333333333
41,183.75,18.75,93.75,213.75,93.75,67.5,30,90,87.91666666666667
42,187.5,26.25,105,221.25,97.5,67.5,33.75,97.5,92.91666666666667
43,183.75,22.5,108.75,225,101.25,75,41.25,108.75,96.25
44,183.75,11.25,105,221.25,97.5,71.25,37.5,105,92.5
45,180,0,101.25,213.75,90,63.75,30,97.5,86.25
46,172.5,3.75,108.75,217.5,97.5,67.5,37.5,101.25,89.58333333333333
47,168.75,3.75,105,210,90,60,33.75,101.25,85.83333333333333
48,157.5,-7.5,105,202.5,75,52.5,22.5,93.75,77.91666666666667
49,153.75,-7.5,101.25,195,67.5,45,15,82.5,72.5
50,157.5,3.75,101.25,195,67.5,45,15,78.75,73.75
51,172.5,26.25,105,195,67.5,45,15,78.75,78.33333333333333
52,176.25,30,108.75,195,63.75,41.25,11.25,75,77.91666666666667
53,172.5,18.75,112.5,198.75,63.75,37.5,11.25,78.75,77.08333333333333
54,165,11.25,120,202.5,63.75,41.25,18.75,82.5,78.33333333333333
55,176.25,11.25,127.5,210,67.5,45,22.5,90,83.33333333333333
56,172.5,3.75,127.5,210,75,45,22.5,93.75,83.33333333333333
57,168.75,0,123.75,202.5,60,33.75,15,86.25,76.66666666666667
58,168.75,-3.75,127.5,198.75,60,33.75,15,86.25,76.25
59,168.75,-3.75,131.25,198.75,60,33.75,15,86.25,76.66666666666667
60,157.5,-3.75,131.25,195,56.25,30,7.5,78.75,72.5
61,150,3.75,131.25,187.5,48.75,22.5,0,67.5,67.91666666666667
62,135,3.75,131.25,183.75,41.25,11.25,-11.25,52.5,60.833333333333336
63,120,-3.75,135,180,33.75,3.75,-22.5,41.25,54.166666666666664
64,116.25,-15,135,180,30,-3.75,-26.25,37.5,50.416666666666664
65,108.75,-26.25,138.75,180,30,-3.75,-26.25,37.5,48.75
66,112.5,-22.5,142.5,180,30,-7.5,-26.25,37.5,49.583333333333336
67,127.5,-22.5,153.75,191.25,33.75,0,-22.5,48.75,56.666666666666664
68,123.75,-37.5,153.75,195,41.25,3.75,-22.5,48.75,56.25
69,116.25,-48.75,150,187.5,33.75,-7.5,-30,37.5,48.75
70,101.25,-60,146.25,176.25,22.5,-15,-37.5,33.75,40.833333333333336
71,86.25,-63.75,146.25,172.5,18.75,-22.5,-45,22.5,35.0
72,63.75,-71.25,150,172.5,15,-26.25,-52.5,15,29.583333333333332
73,63.75,-67.5,153.75,165,11.25,-26.25,-56.25,11.25,28.333333333333332
74,78.75,-52.5,153.75,157.5,7.5,-33.75,-60,3.75,28.333333333333332
75,71.25,-48.75,157.5,157.5,3.75,-37.5,-63.75,0,26.666666666666668
76,63.75,-56.25,153.75,157.5,3.75,-37.5,-67.5,-7.5,23.333333333333332
77,63.75,-63.75,150,157.5,3.75,-41.25,-71.25,-11.25,20.833333333333332
78,67.5,-71.25,157.5,165,7.5,-37.5,-63.75,-3.75,24.583333333333332
79,67.5,-82.5,161.25,168.75,11.25,-30,-60,3.75,26.666666666666668
80,60,-90,153.75,157.5,3.75,-41.25,-67.5,-7.5,18.75
81,48.75,-86.25,153.75,150,0,-45,-71.25,-7.5,15.833333333333334
82,45,-97.5,150,142.5,-7.5,-48.75,-78.75,-15,10.0
83,37.5,-112.5,146.25,135,-11.25,-56.25,-86.25,-22.5,3.3333333333333335
84,22.5,-127.5,142.5,127.5,-18.75,-60,-90,-30,-3.75
85,7.5,-146.25,138.75,116.25,-30,-71.25,-105,-41.25,-14.583333333333334
86,0,-135,138.75,108.75,-37.5,-78.75,-112.5,-52.5,-18.75
87,-3.75,-123.75,142.5,112.5,-30,-75,-108.75,-48.75,-15.0
88,-11.25,-123.75,142.5,108.75,-33.75,-82.5,-112.5,-52.5,-18.333333333333332
89,-11.25,-120,142.5,101.25,-41.25,-82.5,-116.25,-56.25,-20.416666666666668
90,7.5,-112.5,146.25,108.75,-30,-75,-105,-45,-11.666666666666666
91,18.75,-120,142.5,112.5,-26.25,-71.25,-101.25,-41.25,-9.583333333333334
92,3.75,-142.5,138.75,105,-33.75,-78.75,-108.75,-45,-17.916666666666668
93,-3.75,-150,123.75,93.75,-41.25,-86.25,-116.25,-52.5,-25.833333333333332
94,3.75,-142.5,123.75,90,-41.25,-82.5,-112.5,-48.75,-23.333333333333332
95,7.5,-146.25,123.75,86.25,-45,-86.25,-112.5,-52.5,-25.0
96,-7.5,-153.75,120,78.75,-52.5,-93.75,-120,-60,-32.083333333333336
97,-26.25,-150,112.5,71.25,-56.25,-97.5,-127.5,-67.5,-37.916666666666664
98,-30,-138.75,112.5,60,-67.5,-105,-135,-75,-42.083333333333336
99,-26.25,-131.25,116.25,56.25,-75,-108.75,-138.75,-78.75,-42.916666666666664
100,-22.5,-135,120,67.5,-63.75,-105,-135,-75,-38.75
101,-30,-142.5,120,67.5,-60,-108.75,-135,-78.75,-40.833333333333336
102,-26.25,-150,120,67.5,-67.5,-112.5,-135,-75,-42.083333333333336
