samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
84,-633.75,-127.5,206.25,247.5,296.25,135,180,187.5,54.583333333333336
85,-626.25,-131.25,198.75,243.75,288.75,127.5,172.5,180,50.416666666666664
86,-618.75,-146.25,187.5,232.5,281.25,123.75,168.75,176.25,45.0
87,-626.25,-150,191.25,236.25,288.75,131.25,176.25,183.75,47.916666666666664
88,-641.25,-157.5,187.5,240,292.5,131.25,176.25,187.5,46.25
89,-660,-150,187.5,243.75,296.25,135,180,191.25,47.083333333333336
90,-667.5,-146.25,191.25,247.5,300,142.5,187.5,195,50.0
91,-648.75,-157.5,183.75,236.25,288.75,135,176.25,183.75,44.166666666666664
92,-615,-153.75,172.5,228.75,285,123.75,168.75,168.75,42.083333333333336
93,-615,-150,180,236.25,292.5,131.25,176.25,180,47.916666666666664
94,-660,-153.75,191.25,247.5,303.75,142.5,183.75,187.5,49.166666666666664
95,-667.5,-142.5,202.5,258.75,311.25,150,191.25,195,55.416666666666664
96,-600,-123.75,195,255,296.25,142.5,187.5,191.25,60.416666666666664
97,-551.25,-116.25,183.75,251.25,292.5,138.75,187.5,191.25,64.16666666666667
98,-570,-135,176.25,251.25,303.75,138.75,183.75,191.25,60.0
99,-607.5,-146.25,176.25,255,307.5,146.25,191.25,198.75,57.916666666666664
100,-618.75,-127.5,176.25,255,307.5,150,195,198.75,59.583333333333336
101,-615,-108.75,183.75,262.5,315,157.5,202.5,206.25,67.08333333333333
102,-607.5,-123.75,183.75,258.75,315,157.5,202.5,210,66.25
103,-588.75,-135,165,240,296.25,142.5,187.5,195,55.833333333333336
104,-588.75,-123.75,168.75,243.75,300,146.25,191.25,195,59.166666666666664
105,-585,-112.5,183.75,258.75,318.75,157.5,202.5,206.25,70.0
106,-573.75,-116.25,180,255,307.5,150,198.75,198.75,66.66666666666667
107,-566.25,-116.25,168.75,251.25,300,142.5,191.25,195,62.916666666666664
108,-577.5,-105,180,270,318.75,157.5,206.25,210,73.33333333333333
109,-577.5,-112.5,176.25,266.25,318.75,157.5,206.25,210,71.66666666666667
110,-573.75,-120,165,255,307.5,150,198.75,206.25,65.41666666666667
111,-573.75,-112.5,168.75,258.75,311.25,157.5,206.25,213.75,70.0
112,-566.25,-108.75,172.5,258.75,311.25,157.5,206.25,213.75,71.66666666666667
113,-566.25,-112.5,168.75,255,307.5,153.75,202.5,210,68.75
114,-573.75,-112.5,165,247.5,300,150,198.75,206.25,64.58333333333333
115,-592.5,-116.25,165,240,296.25,146.25,198.75,202.5,60.0
116,-585,-116.25,161.25,236.25,292.5,138.75,191.25,195,57.083333333333336
117,-562.5,-108.75,157.5,236.25,288.75,138.75,191.25,195,59.583333333333336
118,-562.5,-105,157.5,240,288.75,138.75,191.25,195,60.416666666666664
119,-570,-101.25,157.5,236.25,285,135,191.25,195,58.75
120,-547.5,-82.5,172.5,251.25,288.75,142.5,202.5,210,70.83333333333333
121,-502.5,-75,168.75,255,292.5,146.25,206.25,217.5,78.75
122,-510,-97.5,157.5,255,300,146.25,206.25,217.5,75.0
123,-543.75,-108.75,165,243.75,292.5,142.5,202.5,213.75,67.5
124,-543.75,-97.5,172.5,243.75,288.75,142.5,202.5,217.5,69.58333333333333
125,-540,-90,165,243.75,288.75,142.5,206.25,217.5,70.41666666666667
126,-555,-93.75,153.75,232.5,277.5,131.25,198.75,210,61.666666666666664
127,-543.75,-90,150,217.5,262.5,120,187.5,202.5,56.25
128,-525,-86.25,146.25,210,255,116.25,183.75,195,55.0
129,-528.75,-101.25,146.25,213.75,255,116.25,183.75,195,53.333333333333336
130,-555,-123.75,157.5,217.5,258.75,120,187.5,202.5,51.666666666666664
131,-562.5,-116.25,168.75,225,262.5,123.75,198.75,210,56.666666666666664
132,-536.25,-82.5,165,225,262.5,123.75,198.75,213.75,63.333333333333336
133,-510,-67.5,146.25,202.5,236.25,105,180,202.5,55.0
134,-513.75,-75,142.5,198.75,228.75,101.25,180,198.75,51.25
135,-528.75,-93.75,146.25,206.25,243.75,112.5,191.25,210,54.166666666666664
136,-547.5,-112.5,157.5,210,247.5,112.5,191.25,217.5,52.916666666666664
137,-547.5,-108.75,157.5,202.5,236.25,105,187.5,213.75,49.583333333333336
138,-525,-97.5,150,187.5,221.25,97.5,176.25,206.25,46.25
139,-510,-90,142.5,176.25,206.25,86.25,165,191.25,40.833333333333336
140,-517.5,-93.75,142.5,168.75,195,78.75,161.25,187.5,35.833333333333336
141,-532.5,-97.5,150,183.75,213.75,90,172.5,198.75,42.083333333333336
142,-528.75,-97.5,150,187.5,213.75,90,172.5,202.5,43.333333333333336
143,-528.75,-82.5,161.25,187.5,213.75,93.75,183.75,213.75,49.166666666666664
144,-513.75,-52.5,168.75,198.75,225,101.25,191.25,225,60.416666666666664
145,-487.5,-48.75,157.5,191.25,213.75,93.75,180,213.75,57.083333333333336
146,-506.25,-71.25,146.25,180,202.5,82.5,172.5,210,46.25
