samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
0,-33.75,-78.75,-3.75,-11.25,-63.75,-52.5,-97.5,-168.75,-56.666666666666664
1,-3.75,-41.25,-18.75,-22.5,-75,-63.75,-112.5,-176.25,-57.083333333333336
2,18.75,-18.75,-33.75,-37.5,-90,-78.75,-127.5,-187.5,-61.666666666666664
3,45,-15,-33.75,-33.75,-86.25,-78.75,-123.75,-183.75,-56.666666666666664
4,86.25,-26.25,-45,-45,-97.5,-90,-135,-187.5,-60.0
5,112.5,-48.75,-52.5,-52.5,-108.75,-105,-142.5,-198.75,-66.25
6,82.5,-63.75,-48.75,-52.5,-101.25,-97.5,-135,-191.25,-67.5
7,41.25,-63.75,-45,-48.75,-101.25,-93.75,-135,-195,-71.25
8,22.5,-75,-45,-52.5,-101.25,-97.5,-138.75,-202.5,-76.66666666666667
9,37.5,-71.25,-41.25,-45,-97.5,-93.75,-135,-198.75,-71.66666666666667
10,56.25,-52.5,-33.75,-33.75,-86.25,-82.5,-123.75,-187.5,-60.416666666666664
11,26.25,-52.5,-30,-30,-78.75,-75,-120,-180,-60.0
12,-15,-60,-15,-15,-60,-52.5,-93.75,-161.25,-52.5
13,-22.5,-67.5,3.75,3.75,-41.25,-33.75,-75,-138.75,-41.25
14,7.5,-52.5,0,0,-45,-41.25,-82.5,-146.25,-40.0
15,37.5,-45,-15,-18.75,-60,-56.25,-101.25,-161.25,-46.666666666666664
16,71.25,-56.25,-33.75,-33.75,-82.5,-75,-116.25,-176.25,-55.833333333333336
17,75,-78.75,-41.25,-41.25,-90,-86.25,-120,-180,-62.5
18,45,-101.25,-33.75,-37.5,-86.25,-82.5,-116.25,-172.5,-65.0
19,37.5,-112.5,-15,-26.25,-71.25,-67.5,-101.25,-161.25,-57.5
20,33.75,-120,-7.5,-18.75,-63.75,-63.75,-97.5,-157.5,-55.0
21,52.5,-90,-3.75,-7.5,-56.25,-52.5,-90,-150,-44.166666666666664
22,56.25,-82.5,3.75,0,-48.75,-45,-82.5,-142.5,-37.916666666666664
23,26.25,-97.5,7.5,0,-45,-37.5,-75,-142.5,-40.416666666666664
24,3.75,-90,3.75,-3.75,-45,-37.5,-78.75,-142.5,-43.333333333333336
25,3.75,-71.25,-7.5,-15,-60,-52.5,-93.75,-153.75,-50.0
26,11.25,-60,-15,-26.25,-67.5,-63.75,-105,-165,-54.583333333333336
27,7.5,-63.75,-22.5,-33.75,-75,-71.25,-116.25,-172.5,-60.833333333333336
28,33.75,-78.75,-37.5,-45,-90,-90,-127.5,-180,-68.33333333333333
29,82.5,-82.5,-45,-52.5,-101.25,-97.5,-131.25,-183.75,-67.91666666666667
30,93.75,-93.75,-41.25,-52.5,-101.25,-97.5,-131.25,-180,-67.08333333333333
31,67.5,-127.5,-22.5,-41.25,-86.25,-82.5,-112.5,-168.75,-63.75
32,56.25,-153.75,-15,-33.75,-78.75,-75,-105,-157.5,-62.5
33,71.25,-127.5,-22.5,-33.75,-82.5,-78.75,-105,-161.25,-60.0
34,45,-71.25,-26.25,-41.25,-86.25,-78.75,-105,-165,-58.75
35,-7.5,0,-37.5,-52.5,-93.75,-86.25,-116.25,-176.25,-63.333333333333336
36,-52.5,15,-41.25,-56.25,-97.5,-86.25,-120,-180,-68.75
37,-52.5,-33.75,-30,-48.75,-90,-78.75,-108.75,-168.75,-67.91666666666667
38,-22.5,-86.25,-18.75,-33.75,-75,-67.5,-97.5,-153.75,-61.666666666666664
39,3.75,-105,-26.25,-33.75,-75,-71.25,-101.25,-157.5,-62.916666666666664
40,33.75,-112.5,-41.25,-52.5,-93.75,-90,-116.25,-165,-70.83333333333333
41,63.75,-138.75,-41.25,-56.25,-101.25,-97.5,-120,-165,-72.91666666666667
42,52.5,-168.75,-22.5,-37.5,-82.5,-78.75,-105,-150,-65.83333333333333
43,37.5,-161.25,-18.75,-37.5,-82.5,-75,-101.25,-150,-65.41666666666667
44,48.75,-93.75,-41.25,-60,-105,-97.5,-123.75,-172.5,-71.66666666666667
45,41.25,-60,-60,-78.75,-123.75,-116.25,-142.5,-187.5,-80.83333333333333
46,15,-71.25,-56.25,-75,-120,-112.5,-138.75,-187.5,-82.91666666666667
47,-7.5,-67.5,-45,-67.5,-108.75,-101.25,-127.5,-183.75,-78.75
48,-18.75,-48.75,-41.25,-60,-101.25,-93.75,-123.75,-180,-74.16666666666667
49,-11.25,-48.75,-37.5,-60,-97.5,-90,-123.75,-172.5,-71.25
50,3.75,-52.5,-52.5,-71.25,-112.5,-101.25,-135,-183.75,-78.33333333333333
51,7.5,-33.75,-56.25,-78.75,-120,-108.75,-142.5,-187.5,-80.0
52,45,-41.25,-63.75,-86.25,-123.75,-112.5,-138.75,-183.75,-78.33333333333333
53,63.75,-75,-71.25,-97.5,-135,-127.5,-150,-191.25,-87.08333333333333
54,52.5,-78.75,-71.25,-101.25,-138.75,-127.5,-150,-195,-90.0
55,48.75,-90,-60,-93.75,-131.25,-116.25,-138.75,-191.25,-85.83333333333333
56,41.25,-116.25,-48.75,-78.75,-120,-105,-127.5,-180,-81.66666666666667
57,33.75,-135,-45,-78.75,-120,-105,-127.5,-180,-84.16666666666667
58,15,-142.5,-33.75,-67.5,-105,-93.75,-116.25,-168.75,-79.16666666666667
59,-11.25,-127.5,-22.5,-60,-97.5,-86.25,-112.5,-168.75,-76.25
60,-3.75,-78.75,-26.25,-63.75,-101.25,-90,-120,-172.5,-72.91666666666667
61,11.25,-30,-26.25,-63.75,-105,-93.75,-127.5,-180,-68.33333333333333
62,0,-3.75,-22.5,-60,-105,-93.75,-127.5,-180,-65.83333333333333
63,18.75,37.5,-26.25,-63.75,-108.75,-97.5,-131.25,-180,-61.25
64,67.5,75,-48.75,-90,-131.25,-123.75,-153.75,-198.75,-67.08333333333333
65,82.5,60,-56.25,-97.5,-138.75,-135,-161.25,-202.5,-72.08333333333333
66,33.75,-18.75,-22.5,-75,-116.25,-108.75,-135,-180,-69.16666666666667
67,18.75,-75,-7.5,-60,-105,-97.5,-123.75,-168.75,-68.75
68,30,-82.5,3.75,-52.5,-97.5,-90,-112.5,-161.25,-62.5
69,18.75,-82.5,18.75,-41.25,-86.25,-78.75,-97.5,-146.25,-55.0
70,-7.5,-82.5,30,-30,-75,-67.5,-93.75,-142.5,-52.083333333333336
71,-18.75,-97.5,41.25,-15,-60,-48.75,-78.75,-131.25,-45.416666666666664
72,-15,-90,56.25,0,-45,-33.75,-63.75,-120,-34.583333333333336
73,-11.25,11.25,41.25,-15,-60,-48.75,-86.25,-138.75,-34.166666666666664
74,-22.5,63.75,15,-41.25,-86.25,-82.5,-116.25,-168.75,-48.75
75,7.5,26.25,30,-30,-75,-67.5,-101.25,-153.75,-40.416666666666664
76,82.5,-3.75,48.75,-11.25,-56.25,-52.5,-82.5,-127.5,-22.5
77,101.25,-22.5,33.75,-26.25,-71.25,-67.5,-90,-135,-30.833333333333332
78,60,-22.5,15,-48.75,-93.75,-86.25,-112.5,-157.5,-49.583333333333336
79,52.5,7.5,11.25,-52.5,-97.5,-86.25,-112.5,-153.75,-47.916666666666664
80,71.25,15,15,-41.25,-78.75,-67.5,-90,-131.25,-34.166666666666664
81,71.25,-15,22.5,-22.5,-60,-45,-71.25,-112.5,-25.833333333333332
82,37.5,-18.75,30,-7.5,-41.25,-26.25,-52.5,-101.25,-20.0
83,-3.75,3.75,7.5,-18.75,-48.75,-30,-56.25,-108.75,-28.333333333333332
84,-18.75,33.75,-22.5,-37.5,-63.75,-48.75,-75,-123.75,-39.583333333333336
85,-3.75,82.5,-41.25,-56.25,-78.75,-63.75,-97.5,-142.5,-44.583333333333336
86,11.25,112.5,-56.25,-67.5,-90,-78.75,-105,-153.75,-47.5
87,48.75,112.5,-67.5,-75,-97.5,-78.75,-108.75,-150,-46.25
88,97.5,86.25,-82.5,-90,-112.5,-93.75,-120,-153.75,-52.083333333333336
89,97.5,26.25,-86.25,-105,-127.5,-108.75,-135,-165,-67.08333333333333
90,60,-15,-78.75,-97.5,-123.75,-105,-131.25,-161.25,-72.5
91,56.25,-22.5,-82.5,-101.25,-123.75,-105,-127.5,-161.25,-74.16666666666667
92,52.5,-52.5,-97.5,-116.25,-138.75,-120,-142.5,-168.75,-87.08333333333333
93,26.25,-105,-93.75,-120,-142.5,-123.75,-146.25,-172.5,-97.5
94,7.5,-116.25,-78.75,-108.75,-135,-112.5,-135,-165,-93.75
95,-3.75,-75,-71.25,-101.25,-127.5,-105,-127.5,-157.5,-85.41666666666667
96,-3.75,-26.25,-52.5,-90,-116.25,-93.75,-116.25,-146.25,-71.66666666666667
97,3.75,-3.75,-37.5,-75,-101.25,-78.75,-105,-135,-59.166666666666664
98,-3.75,7.5,-41.25,-75,-101.25,-82.5,-108.75,-135,-60.0
99,22.5,56.25,-52.5,-90,-116.25,-93.75,-116.25,-142.5,-59.166666666666664
100,67.5,56.25,-71.25,-112.5,-138.75,-120,-138.75,-161.25,-68.75
101,67.5,-15,-67.5,-112.5,-142.5,-123.75,-138.75,-161.25,-77.08333333333333
102,26.25,-71.25,-67.5,-116.25,-146.25,-127.5,-138.75,-168.75,-90.0
103,26.25,-86.25,-67.5,-123.75,-153.75,-135,-153.75,-183.75,-97.5
104,37.5,-105,-71.25,-127.5,-157.5,-138.75,-161.25,-191.25,-101.66666666666667
105,45,-120,-56.25,-116.25,-146.25,-123.75,-142.5,-176.25,-92.91666666666667
106,30,-135,-45,-105,-131.25,-108.75,-127.5,-161.25,-87.08333333333333
107,-15,-150,-45,-101.25,-131.25,-105,-123.75,-161.25,-92.5
108,-48.75,-138.75,-45,-105,-135,-108.75,-131.25,-168.75,-97.91666666666667
109,-52.5,-93.75,-52.5,-116.25,-142.5,-116.25,-142.5,-180,-99.58333333333333
110,-41.25,-63.75,-63.75,-127.5,-150,-131.25,-157.5,-191.25,-102.91666666666667
111,-15,-67.5,-67.5,-131.25,-157.5,-138.75,-161.25,-195,-103.75
112,11.25,-90,-71.25,-131.25,-161.25,-138.75,-161.25,-187.5,-103.33333333333333
113,22.5,-123.75,-75,-135,-168.75,-146.25,-161.25,-187.5,-108.33333333333333
114,22.5,-153.75,-78.75,-142.5,-176.25,-157.5,-172.5,-198.75,-117.5
115,18.75,-165,-82.5,-150,-187.5,-165,-180,-210,-124.58333333333333
116,7.5,-187.5,-78.75,-146.25,-183.75,-161.25,-176.25,-206.25,-125.83333333333333
117,7.5,-202.5,-67.5,-138.75,-172.5,-150,-165,-195,-120.41666666666667
118,-3.75,-168.75,-71.25,-142.5,-176.25,-150,-168.75,-198.75,-120.0
119,-71.25,-120,-67.5,-138.75,-168.75,-142.5,-161.25,-195,-118.33333333333333
120,-101.25,-75,-56.25,-123.75,-153.75,-127.5,-150,-187.5,-108.33333333333333
121,-67.5,-41.25,-71.25,-135,-161.25,-135,-161.25,-198.75,-107.91666666666667
122,-56.25,-37.5,-86.25,-150,-176.25,-153.75,-180,-213.75,-117.08333333333333
123,-30,-41.25,-97.5,-157.5,-183.75,-161.25,-187.5,-217.5,-119.58333333333333
124,22.5,-63.75,-93.75,-150,-180,-157.5,-180,-202.5,-111.66666666666667
125,33.75,-108.75,-78.75,-138.75,-172.5,-150,-168.75,-191.25,-108.33333333333333
126,-3.75,-135,-71.25,-138.75,-172.5,-150,-168.75,-191.25,-114.58333333333333
127,-11.25,-127.5,-71.25,-135,-168.75,-150,-165,-195,-113.75
128,-7.5,-135,-71.25,-135,-168.75,-150,-165,-195,-114.16666666666667
129,-18.75,-142.5,-71.25,-131.25,-165,-146.25,-165,-191.25,-114.58333333333333
130,-22.5,-131.25,-56.25,-116.25,-153.75,-135,-153.75,-180,-105.41666666666667
131,-37.5,-157.5,-30,-93.75,-135,-120,-142.5,-172.5,-98.75
132,-41.25,-191.25,-7.5,-63.75,-123.75,-120,-150,-183.75,-97.91666666666667
133,-33.75,-206.25,30,-26.25,-120,-138.75,-172.5,-206.25,-97.08333333333333
134,-37.5,-217.5,90,26.25,-123.75,-172.5,-217.5,-247.5,-100.0
135,-11.25,-228.75,165,90,-123.75,-206.25,-258.75,-288.75,-95.83333333333333
136,33.75,-217.5,232.5,150,-135,-247.5,-303.75,-326.25,-90.41666666666667
137,52.5,-157.5,277.5,191.25,-146.25,-288.75,-348.75,-363.75,-87.08333333333333
138,60,-123.75,330,266.25,-112.5,-277.5,-341.25,-363.75,-62.5
139,101.25,-112.5,401.25,378.75,-22.5,-206.25,-281.25,-311.25,-5.833333333333333
140,138.75,-67.5,472.5,495,82.5,-120,-202.5,-236.25,62.5
141,142.5,-11.25,525,588.75,180,-22.5,-108.75,-150,127.08333333333333
142,172.5,56.25,562.5,671.25,277.5,75,-11.25,-67.5,192.91666666666666
143,210,165,600,761.25,375,183.75,86.25,18.75,266.6666666666667
144,217.5,307.5,603.75,840,498.75,326.25,225,135,350.4166666666667
145,255,435,510,825,600,465,360,258.75,412.0833333333333
146,285,547.5,352.5,727.5,675,596.25,495,375,450.4166666666667
147,341.25,690,180,622.5,772.5,761.25,663.75,525,506.25
148,472.5,862.5,56.25,566.25,915,963.75,870,708.75,601.6666666666666
149,547.5,1065,-30,506.25,1053.75,1173.75,1087.5,900,700.4166666666666
150,521.25,1308.75,-168.75,311.25,1110,1357.5,1301.25,1102.5,760.4166666666666
151,480,1545,-431.25,-63.75,1053.75,1488.75,1496.25,1297.5,762.9166666666666
152,465,1721.25,-742.5,-495,967.5,1593.75,1661.25,1462.5,737.0833333333334
153,446.25,1822.5,-997.5,-825,937.5,1728.75,1826.25,1612.5,727.9166666666666
154,382.5,1826.25,-1173.75,-1027.5,960,1863.75,1965,1713.75,723.3333333333334
155,285,1800,-1233.75,-1110,1016.25,1980,2062.5,1758.75,728.75
156,217.5,1777.5,-1237.5,-1117.5,1083.75,2058.75,2100,1747.5,736.6666666666666
157,176.25,1747.5,-1301.25,-1166.25,1068.75,2036.25,2043.75,1665,696.6666666666666
158,116.25,1638.75,-1376.25,-1245,941.25,1871.25,1871.25,1503.75,591.25
159,52.5,1361.25,-1342.5,-1245,761.25,1590,1586.25,1256.25,446.6666666666667
160,7.5,1023.75,-1260,-1245,487.5,1196.25,1211.25,948.75,263.3333333333333
161,-15,742.5,-1226.25,-1335,90,716.25,795,637.5,45.0
162,-78.75,517.5,-1196.25,-1451.25,-337.5,236.25,397.5,356.25,-172.91666666666666
163,-153.75,345,-1132.5,-1500,-637.5,-120,90,131.25,-330.8333333333333
164,-176.25,247.5,-1038.75,-1410,-701.25,-262.5,-71.25,-7.5,-380.0
165,-165,202.5,-941.25,-1226.25,-611.25,-273.75,-142.5,-101.25,-362.0833333333333
166,-187.5,176.25,-843.75,-1042.5,-498.75,-247.5,-176.25,-161.25,-331.25
167,-221.25,123.75,-738.75,-873.75,-401.25,-191.25,-153.75,-161.25,-290.8333333333333
168,-195,71.25,-622.5,-723.75,-315,-120,-93.75,-116.25,-235.0
169,-142.5,63.75,-521.25,-585,-236.25,-52.5,-37.5,-67.5,-175.41666666666666
170,-108.75,41.25,-435,-450,-157.5,0,3.75,-33.75,-126.66666666666667
171,-75,-26.25,-352.5,-322.5,-75,52.5,45,0,-83.75
172,-11.25,-78.75,-273.75,-221.25,-11.25,93.75,82.5,33.75,-42.916666666666664
173,11.25,-30,-240,-176.25,-3.75,82.5,63.75,15,-30.833333333333332
174,3.75,78.75,-221.25,-157.5,-18.75,48.75,22.5,-30,-30.416666666666668
